Isabelle Carvalhais;;;;;Feminino
Issabella Cullen;;;;;Feminino
Issabelly Salvatore;;;;;Feminino
Lorena Suevo;;;;;Feminino
Sabrina Alcantra;;;;;Feminino
Elena Longboton;;;;;Feminino
Ana Clara Abraão;;;;;Feminino
Eduarda Castro;;;;;Feminino
Kemilly Piazon;;;;;Feminino
Kamilla Russo;;;;;Feminino
kamilly Mello;;;;;Feminino
Melissa  Ribeiro;;;;;Feminino
Ágatha Silva;;;;;Feminino
Alice Beltrão;;;;;Feminino
Bárbara Barborin;;;;;Feminino
Bruna Rodrigues;;;;;Feminino
Cecilia Santos;;;;;Feminino
Carolina Trindade;;;;;Feminino
Érica Machado;;;;;Feminino
Karollina Venturine;;;;;Feminino
Kinberlly Tassinari;;;;;Feminino
Aghata Souza;;;;;Feminino
Claryssa Nascimento;;;;;Feminino
Nicolly Silveira;;;;;Feminino
Sophye Bugmaer;;;;;Feminino
Sophia Garcia;;;;;Feminino
Manuella Moraes;;;;;Feminino
Manuelly Pimenta;;;;;Feminino
Marina Rosa;;;;;Feminino
Mariana Santana;;;;;Feminino
Jessica Carvalho;;;;;Feminino
Lays Alvez;;;;;Feminino
Phelipa Moreira ;;;;;Feminino
Pietra Charllotte;;;;;Feminino
Raphaella Sampaio;;;;;Feminino
Vanessa Ribeiro;;;;;Feminino
Julia Bennett;;;;;Feminino
Mayara Albuquerque;;;;;Feminino
Raquel Garzin;;;;;Feminino
Thalita Guimaroes;;;;;Feminino
Nina Martiz;;;;;Feminino
Lara Bittencurtk;;;;;Feminino
Laura Bermanelly;;;;;Feminino
Luana Carvalhais;;;;;Feminino
Larissa Cullen;;;;;Feminino
Flavia Salvatore;;;;;Feminino
Fabiana Suevo;;;;;Feminino
Isabelle Alcantra;;;;;Feminino
Issabella Longboton;;;;;Feminino
Issabelly Abraão;;;;;Feminino
Lorena Castro;;;;;Feminino
Sabrina Piazon;;;;;Feminino
Elena Russo;;;;;Feminino
Ana Clara Mello;;;;;Feminino
Eduarda Ribeiro;;;;;Feminino
Kemilly Silva;;;;;Feminino
Kamilla Beltrão;;;;;Feminino
kamilly Barborin;;;;;Feminino
Melissa  Rodrigues;;;;;Feminino
Ágatha Santos;;;;;Feminino
Alice Trindade;;;;;Feminino
Bárbara Machado;;;;;Feminino
Bruna Venturine;;;;;Feminino
Cecilia Tassinari;;;;;Feminino
Carolina Souza;;;;;Feminino
Érica Nascimento;;;;;Feminino
Cecilia Silveira;;;;;Feminino
Carolina Bugmaer;;;;;Feminino
Érica Garcia;;;;;Feminino
